file,line,index,manualPriority,automatedPriority,rulePriority,rulePriorityName,ruleID,ruleDescription
app/coronawarn/server/common/persistence/domain/DiagnosisKey.java,90,3754,4,16,Major,2,java:S107,"Constructor has 11 parameters, which is greater than 7 authorized."
app/coronawarn/server/services/distribution/statistics/StatisticsJsonStringObject.java,398,14877,1,4,Major,2,java:S1161,"Add the "@Override" annotation above this method signature"
app/coronawarn/server/services/download/FederationGatewayDownloadService.java,100,4709,8,23,Major,2,java:S2139,"Either log this exception and handle it, or rethrow it with some contextual information."
app/coronawarn/server/services/distribution/assembly/component/CwaApiStructureProvider.java,34,1713,5,12,Major,2,java:S107,"Constructor has 10 parameters, which is greater than 7 authorized."
app/coronawarn/server/services/distribution/assembly/component/BusinessRulesArchiveBuilder.java,70,3527,7,23,Major,2,java:S2629,"Use the built-in formatting to construct this argument."
app/coronawarn/server/services/distribution/assembly/tracewarnings/TraceTimeIntervalWarningsPackageBundler.java,146,6589,1,11,Info,0,java:S1133,"Do not forget to remove this deprecated code someday."
app/coronawarn/server/services/distribution/Application.java,17,731,3,23,Minor,1,java:S1128,"Remove this unused import 'org.springframework.cloud.openfeign.EnableFeignClients'."
app/coronawarn/server/services/submission/checkins/EventCheckinDataValidator.java,22,773,2,23,Info,0,java:S1133,"Do not forget to remove this deprecated code someday."
app/coronawarn/server/services/distribution/dgc/dsc/CloudDscFeignHttpClientProvider.java,15,632,1,23,Minor,1,java:S1128,"Remove this unused import 'org.springframework.cloud.commons.httpclient.ApacheHttpClientConnectionManagerFactory'."
app/coronawarn/server/services/submission/controller/FakeRequestController.java,50,2600,5,21,Major,2,java:S3740,"Provide the parametrized type for this generic."
app/coronawarn/server/common/persistence/domain/config/PreDistributionTrlValueMappingProvider.java,32,1312,2,11,Minor,1,java:S1612,"Replace this lambda with method reference 'this::toProto'."
app/coronawarn/server/services/submission/checkins/FakeCheckinIntervalSpecification.java,8,245,2,10,Major,2,java:S1118,"Add a private constructor to hide the implicit public one."
app/coronawarn/server/services/distribution/dgc/dsc/DigitalSigningCertificatesToProtobufMapping.java,22,973,5,7,Minor,1,java:S1130,"Remove the declaration of thrown exception 'app.coronawarn.server.common.shared.exception.UnableToLoadFileException', as it cannot be thrown from method's body."
app/coronawarn/server/common/persistence/service/FederationUploadKeyService.java,70,3218,5,23,Major,2,java:S3864,"Remove this use of "Stream.peek"."
app/coronawarn/server/services/distribution/dgc/client/CloudDccFeignHttpClientProvider.java,83,3573,5,14,Major,2,java:S2139,"Either log this exception and handle it, or rethrow it with some contextual information."
app/coronawarn/server/services/submission/checkins/EventCheckinDataFilter.java,57,2770,5,23,Major,2,java:S3864,"Remove this use of "Stream.peek"."
app/coronawarn/server/services/submission/config/SubmissionServiceConfig.java,226,6733,3,3,Minor,1,java:S1874,"Remove this use of "unencryptedCheckinsEnabled"; it is deprecated."
app/coronawarn/server/services/distribution/assembly/tracewarnings/structure/directory/TraceTimeIntervalWarningsCountryDirectory.java,49,2745,4,15,Minor,1,java:S1874,"Remove this use of "decorateV1HourDirectory"; it is deprecated."
app/coronawarn/server/services/callback/registration/RegistrationRunner.java,41,1698,9,22,Major,2,java:S2259,"A "NullPointerException" could be thrown; "getBody()" can return null."
app/coronawarn/server/services/distribution/assembly/component/DigitalCertificatesStructureProvider.java,59,3780,3,10,Major,2,java:S107,"Constructor has 8 parameters, which is greater than 7 authorized."
app/coronawarn/server/common/persistence/service/TraceTimeIntervalWarningService.java,71,3427,1,17,Major,2,java:S1123,"Add the missing @deprecated Javadoc tag."
app/coronawarn/server/services/submission/config/SubmissionServiceConfig.java,220,6485,1,6,Major,2,java:S6355,"Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
app/coronawarn/server/services/distribution/assembly/tracewarnings/structure/directory/decorator/HourIntervalIndexingV1Decorator.java,30,1525,1,5,Info,0,java:S1133,"Do not forget to remove this deprecated code someday."
app/coronawarn/server/services/distribution/statistics/local/BuildLocalStatisticsHelper.java,41,1988,1,2,Minor,1,java:S1611,"Remove the parentheses around the "localStatistics" parameter"
app/coronawarn/server/common/persistence/service/FederationUploadKeyService.java,74,3492,5,23,Major,2,java:S3864,"Remove this use of "Stream.peek"."
app/coronawarn/server/common/persistence/service/TraceTimeIntervalWarningService.java,53,2613,3,7,Major,2,java:S5738,"Remove this call to a deprecated field, it has been marked for removal."
app/coronawarn/server/services/distribution/assembly/tracewarnings/structure/directory/decorator/HourIntervalIndexingV1Decorator.java,19,1009,2,12,Major,2,java:S110,"This class has 6 parents which is greater than 5 authorized."
app/coronawarn/server/common/persistence/service/TraceTimeIntervalWarningService.java,71,3427,1,17,Info,0,java:S1133,"Do not forget to remove this deprecated code someday."
app/coronawarn/server/common/persistence/service/FederationUploadKeyService.java,72,3331,5,23,Major,2,java:S3864,"Remove this use of "Stream.peek"."
app/coronawarn/server/services/distribution/assembly/tracewarnings/ProdTraceTimeIntervalWarningsPackageBundler.java,56,2855,1,5,Major,2,java:S1161,"Add the "@Override" annotation above this method signature"
app/coronawarn/server/services/distribution/assembly/tracewarnings/TraceTimeIntervalWarningsPackageBundler.java,50,2308,1,9,Info,0,java:S1133,"Do not forget to remove this deprecated code someday."
app/coronawarn/server/services/distribution/assembly/tracewarnings/structure/directory/decorator/HourIntervalIndexingV1Decorator.java,45,2344,1,18,Info,0,java:S1133,"Do not forget to remove this deprecated code someday."
app/coronawarn/server/services/distribution/dgc/dsc/CloudDscFeignHttpClientProvider.java,17,805,3,23,Minor,1,java:S1128,"Remove this unused import 'org.springframework.cloud.commons.httpclient.DefaultApacheHttpClientConnectionManagerFactory'."
app/coronawarn/server/services/submission/config/SubmissionServiceConfig.java,221,6515,1,6,Info,0,java:S1133,"Do not forget to remove this deprecated code someday."
app/coronawarn/server/common/persistence/domain/config/PreDistributionTrlValueMappingProvider.java,18,716,1,2,Critical,3,java:S1186,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation."
app/coronawarn/server/common/persistence/service/TraceTimeIntervalWarningService.java,172,7901,5,23,Major,2,java:S5738,"Remove this call to a deprecated field, it has been marked for removal."
app/coronawarn/server/services/submission/config/SecurityConfig.java,20,983,7,20,Minor,1,java:S1874,"Remove this use of "WebSecurityConfigurerAdapter"; it is deprecated."
app/coronawarn/server/services/distribution/statistics/keyfigurecard/ValueTrendCalculator.java,7,285,2,23,Major,2,java:S1118,"Add a private constructor to hide the implicit public one."
app/coronawarn/server/services/federation/upload/runner/Upload.java,70,3555,2,23,Minor,1,java:S1612,"Replace this lambda with method reference 'sortedOriginalList::get'."
app/coronawarn/server/services/submission/checkins/FakeCheckinIntervalSpecification.java,31,1274,1,3,Minor,1,java:S1611,"Remove the parentheses around the "checkin" parameter"
